LEGEND,name,professors,description,deptLevel,distArea,rating,primaryDept
NULL,Topics in the History of Sex and Gender - Gender and Science , Erika L. Milam , The seminar begins by exploring classic scholarship centered on four historical periods  each posited as important moments in the origin of gendered science: medieval Christianity  the scientific revolution  the professionalization of scientists in the late-19th century  and 20th-century second-wave feminism. We then turn to a series of well-developed analytical tools employed by historians of science and gender  and finally to recent scholarship. In all cases  we will analyze the imbricated processes by which science as a social enterprise has been fundamentally gendered and the implicit gendering of the sciences of sex and sexuality. , HIS 519 GSS 519 HOS 519 ,,4.901999999999999,HIS
NULL,Readings in Early Modern Japanese History , Federico Marcon , A survey of major issues in the historiography of early modern Japan and Meiji Japan (1600-1890). , HIS 526 EAS 521 ,,4.8,HIS
NULL,Problems and Sources in the Study of Late Antique Iran: Sasanian History , Khodadad Rezakhani , This graduate seminar is meant as both an overview of Sasanian history as well as an introduction to its historiography. It is organized based on the study of sources and addresses the issue of the diversity of languages  types of evidence  and variety of approaches. It additionally aims at connecting Sasanian history to the greater issues of late antique and world history and emphasizes similarities and mutual influences with other late antique civilizations and entities. , HIS 534 ,,-1,HIS
NULL,History of the U.S. State , Margot Canaday ," This course surveys classic and recent literature on the history of the U.S. state. The bulk of the readings concentrate on the 20th Century U.S.  but with some attention to earlier periods  other parts of the world  and key theoretical texts. Over the arc of the semester we work toward an understanding of what the state is  and what the concept of the state conveys that is not simply contained in the word ""government"". ", HIS 535 ,,-1,HIS
NULL,Cross-Cultural Encounters in the Medieval Mediterranean , Teresa Shawcross , The littoral of the Great Sea has long been viewed as a major place of contact  conflict and exchange for groups belonging to the three Abrahamic religions: Judaism  Christianity and Islam. This course approaches the encounters of different religions and ethnicities in such a manner as to introduce students not only to the classic historiography on the subject  but also to the main controversies and debates now current in scholarship. Our analysis and evaluation of the connections that developed between individuals and communities will focus on the High Middle Ages. , HIS 536 HLS 536 MED 536 ,,3.964,HIS
NULL,International Financial History , Harold James , The course examines financial innovation and its consequences from the early modern period to present: it examines the evolution of trading practices  bills of exchange  government bonds  equities  banking activity  derivatives markets  securitization. How do these evolve in particular state or national settings  how are the practices regulated  how do they relate to broader processes of economic development and to state formation? What happens as financial instruments are traded across state boundaries  and how does an international financial order evolve? What are the effects of international capital mobility? , HIS 552 ,,4.680000000000001,HIS
NULL,The Soviet Empire and Successor States , Stephen Kotkin , This seminar covers the history of the Soviet Union from inception until dissolution and slightly beyond. The readings are exhaustive and comprehensive  with particular attention paid to institutions  empire  the cultural foundations of politics  and the world context. , HIS 559 ,,5.0,HIS
NULL,After Empire , Gyan Prakash , This graduate seminar explores the postcolonial world in the aftermath of World War II  a period convulsed by the aftereffects of wartime upheavals  nationalist insurgencies  imperial retreat  and the onset of the Cold War. Focusing on the period from the end of World War II to Bandung and treating it as a distinct and bounded historical conjuncture  we examine decolonization as a global phenomenon  caught between the no longer and not yet  and sparking changes in imperial and anticolonial projects. , HIS 560 ,,4.68,HIS
NULL,The General Crisis of the Seventeenth Century , Yaacob Dweck , This course examines how historians have employed the notion of crisis in the study of the past in particular and the seventeenth century in particular. While the majority of our readings emerge from scholarship on crisis in seventeenth-century Europe  we also look at examples from other times and places. What insights does the notion of crisis release into the historical study of the past? What insights does it inhibit? , HIS 564 ,,-1,HIS
NULL,Topics in English History - Working with Early Modern Documents , Eleanor K. Hubbard , This research and writing course introduces students to working with archival documents. It is designed to expose students to a variety of early modern archival materials  especially manuscript (letters  state papers  parish registers  criminal proceedings  account books  legal depositions  etc.) and to explore how historians use different materials. , HIS 567 ,,-1,HIS
NULL,Topics in African Diaspora History - Emancipation  Migration  Decolonization , Joshua B. Guild , This readings course considers the dispersals  political movements  cultural production  social bonds  and intellectual labors that together have constituted and continually re-configured the modern African diaspora  from the emergence and collapse of the Atlantic slave system through the late twentieth century. The course tracks the evolution of diaspora as an idea and analytical framework  highlighting its intersections with concepts of Pan-Africanism  black nationalism  cosmopolitanism  and citizenship. , HIS 578 AAS 578 ,,-1,HIS
NULL,American Technological History , Emily Thompson , This reading course introduces History Dept. graduate students to historical literature on American technology from the Colonial Era through the Twentieth Century. A chronological survey of technological development highlights the variety of ways scholars have understood technology and its interactions with society and culture from a historical perspective. , HIS 586 HOS 586 ,,5.0,HIS
NULL,Readings in Early American History , Wendy Warren , This course provides an introduction to the historiography of early North America and the Caribbean. Discussions of Native American history  comparative colonialism  labor  violence  race  slavery  and more. , HIS 587 ,,-1,HIS
NULL,Elementary Modern Greek I , Staff , To set the foundations for acquiring a command of spoken and written Modern Greek. Equal emphasis will be given to speaking  reading  and writing. , HLS 101 MOG 101 ,,4.746,HLS
NULL,Intermediate Modern Greek , Staff , To improve the students' oral and written skills and introduce them to themes in the Hellenic tradition through readings in Modern Greek literature. , HLS 105 MOG 105 ,,-1,HLS
NULL,Introduction to Historiography of Science , Angela N. Creager , This course is designed to introduce beginning graduate students to the central problems and principle literature of the history of science from the Enlightenment into the 20th century. , HOS 595 MOD 564 HIS 595 ,,4.67,HOS
NULL,Interdisciplinary Approaches to Western Culture I: Literature and the Arts , Katie Chenoweth   Jeff Dolven   Denis Feeney   Daniel Heller-Roazen   Ava Shirazi   Moulie Vidas , Humanistic Studies 216-219 is an intensive yearlong exploration of the landmark achievements of the Western intellectual tradition. With a team of faculty drawn from across the humanities and social sciences  students examine pivotal texts  events  and artifacts of European civilization from antiquity forward. The course is enhanced by guest lectures from preeminent scholars and by excursions to museums and performances. Our themes are the great ones  ethics  politics  beauty  truth  and--in a year when Princeton will make a formal reckoning with its historical debts to slavery--European legacies of bondage and freedom. , HUM 216 , LA ,4.56,HUM
NULL,Interdisciplinary Approaches to Western Culture I: History  Philosophy  and Religion , Katie Chenoweth   Jeff Dolven   Denis Feeney   Daniel Heller-Roazen   Ava Shirazi   Moulie Vidas , In combination with HUM 216  this course explores the landmark achievements of European civilization from antiquity to the middle ages. Students must enroll in both 216 and 217  which constitute a double-credit course. The lecture component for HUM 217 is listed as TBA because all meetings are listed under HUM 216. There are no separate meeting times for HUM 217. , HUM 217 , HA ,4.185999999999999,HUM
NULL,East Asian Humanities I: The Classical Foundations , Anna M. Shields   Brian R. Steininger , An introduction to the literature  art  religion and philosophy of China  Japan and Korea from antiquity to ca. 1400. Readings focus on primary texts in translation  complemented by museum visits and supplementary materials on the course website. The course aims to allow students to explore the unique aspects of East Asian civilizations and the connections between them through an interactive web-based platform  in which assignments are integrated with the texts and media on the website. No prior knowledge of working with digital media is required. , HUM 233 EAS 233 COM 233 , EM ,3.778,HUM
NULL,Medical Story-Worlds , Elena Fratto   Tala Khanmalek , HUM 302 explores illness  health  and the body using storytelling as an entry point. It examines how science  subjectivity  and social difference -- race  class  gender  and sexuality -- are articulated on a global scale. The 1920s construction of the New Soviet Man resonates with histories of medical discrimination in the US; early Soviet studies on biomechanics and the body-machine illuminate current debates on disability and health disparities; the Russian tradition of the Holy Fool jumpstarts a discussion of neurodiversity. Guest lecturers from across Sciences and Humanities will each teach a class in their own institutional space. , HUM 302 SLA 302 GSS 333 AMS 302 , EM ,-1,HUM
NULL,Interdisciplinary Studies in the Humanities - How the Past Became History - East Asia and the Ancient Mediterranean , Nino Luraghi   Federico Marcon , This course explores the emergence of history as a field of knowledge in the ancient Mediterranean and in East Asia. It will guide students to investigate the cultural presuppositions for historiography  comparing two cultures that created their own indigenous tradition  China and Greece  and two that borrowed and adapted foreign traditions  Japan and Rome. We will discuss the specific nature of historiography  comparing it with other ways of transmitting and/or constructing memories of past events  and reflect on the respective historical and cultural implications of these different ways of dealing with the past. , HUM 470 CLA 470 EAS 470 HIS 301 , LA ,4.85,HUM
NULL,Freud and His Readers , Peter P. Brooks   Brigid Doherty , The seminar explores a wide selection of texts by Sigmund Freud  especially those that seem to illuminate the creative or poetic or fiction-making function of mind while reflecting on practices of reading as vital to Freud's own activities as both a psychoanalyst and a writer. A smaller selection of texts by Sandor Ferenczi  Jean Laplanche  and Jacques Lacan are addressed as commentary on fundamental Freudian concepts  and as interpretations of Freud's texts that themselves thematize reading. A few literary texts are considered for their staging of problems related to Freud's insights regarding sexuality and psychic life. , HUM 584 COM 586 GER 584 ,,-1,HUM
NULL,Interdisciplinary Studies in the Humanities - What is a material? History  Architecture  Environment , Lucia Allais   Forrest M. Meggers , Materialism has returned to the forefront of humanistic speculation  as scholars rethink how to be human in the face of environmental change. Today  who counts as a historical and/or environmental agent depends largely on what one thinks a material is. This course mines the history of architecture and its allied engineering for technical and philosophical perspectives on this material turn. We alternate seminar discussions (on themes such as solidity  invisibility  aggregation  operability  wires) and workshops (where guest scientists  historians  practitioners lead us in experiments in thinking and making). , HUM 595 ARC 593 MOD 551 ,,-1,HUM
NULL,An Integrated  Quantitative Introduction to the Natural Sciences I , Peter Andolfatto   Curtis G. Callan   Joshua W. Shaevitz   Martin Helmut Wühr , An integrated  mathematically and computationally sophisticated introduction to physics  chemistry  molecular biology  and computer science. This year long  four course sequence is a multidisciplinary course taught across multiple departments with the following faculty: C. Callan  J. Shaevitz (PHY); S. Shvartsman (CBE); H. Yang (CHM); P. Andolfatto (EEB); E. Wieschaus (MOL); O. Troyanskaya (COS); J. Gadd  B. Machta  A. Nourmohammad  Q. Wang (LSI). Five hours of lecture  one three-hour lab  one three-hour precept  one required evening problem session. , ISC 231 CHM 231 COS 231 MOL 231 PHY 231 ,,3.975714285714286,ISC
NULL,An Integrated  Quantitative Introduction to the Natural Sciences I , Peter Andolfatto   Curtis G. Callan   Joshua W. Shaevitz   Martin Helmut Wühr , An integrated  mathematically and computationally sophisticated introduction to physics  chemistry  molecular biology  and computer science. This year long  four course sequence is a multidisciplinary course taught across multiple departments with the following faculty: C. Callan  J. Shaevitz (PHY); S. Shvartsman (CBE); H. Yang (CHM); P. Andolfatto (EEB); E. Wieschaus (MOL); O. Troyanskaya (COS); J. Gadd  B. Machta  A. Nourmohammad  Q. Wang (LSI). Five hours of lecture  one three-hour lab  one three-hour precept  one required evening problem session. , ISC 232 CHM 232 COS 232 MOL 232 PHY 232 , QR ,4.003333333333333,ISC
NULL,Organic Chemistry of Metabolism , Joshua D. Rabinowitz   Stanislav Y. Shvartsman , A rigorous one-semester introduction to the organic chemical reactions of greatest biological importance  taught through the lens of metabolism. Covers organic mechanisms underlying fundamental enzyme-catalyzed reactions and quantitative analysis of enzyme kinetics and metabolic networks. For quantitatively-inclined students interested in biology  this course is an alternative to the standard two-semester organic chemistry sequence (CHM303/304). Does not replace CHM303/304 for Chemistry majors. Satisfies the organic chemistry requirement for Molecular Biology majors and provides appropriate preparation for subsequent studies in Biochemistry. , ISC 335 CHM 335 ,,4.026666666666666,ISC
NULL,Beginner's Italian I ," Daniele De Feo,   Elisa Dossena ", To develop the skills of speaking  understanding  reading and writing Italian. The main emphasis is on oral drill and conversation in the classroom. Aspects of Italian culture and civilization will be touched upon. , ITA 101 ,,4.395,ITA
NULL,Advanced Italian ," Daniele De Feo,   Sara Teardo ", This course is designed to help the student who already has some background in Italian to develop greater facility in speaking and writing Italian on an advanced level. Principally oral approach. Classes are conducted entirely in Italian. , ITA 107 ,,4.358333333333333,ITA
NULL,Italian Civilization Through the Centuries ," Gaetana Marrone-Puglia,   Simone Marchesi ", This course is designed to give an overview of pivotal moments in Italian culture  such as the relationship between Church and Empire in the Middle Ages  Machiavelli's political theory during the Renaissance  and the rise and fall of Fascism in the 20th century. Through the examination of the most relevant intellectual  historic  and artistic movements and their main geographical venues  students will be able to acquire a comprehensive understanding of the development of Italian history and civilization. , ITA 220 , LA ,4.151666666666666,ITA
NULL,"Dante's ""Inferno"" ", Simone Marchesi ," Intensive study of the ""Inferno""  with major attention paid to poetic elements such as structure  allegory  narrative technique  and relation to earlier literature  principally the Latin classics. Course conducted in English with highly interactive classes and preceptorials. An Italian precept will be offered. ", ITA 303 MED 303 , LA ,4.461666666666667,ITA
NULL,Topics in 19th-Century Italian Literature - Risorgimento  Opera  Film , Gaetana Marrone-Puglia , This course will explore the ways in which national identity was imagined and implemented within Italian literature  culture  and cinema before  during  and after the period of Italian unification in the mid-XIX century. Examples are drawn from a wide range of literary  artistic and cultural media. , ITA 311 COM 379 , LA ,-1,ITA
NULL,Risorgimento  Opera  Film , Gaetana Marrone-Puglia , This course will explore the ways in which national identity was imagined and implemented within Italian literature  culture  and cinema before  during  and after the period of Italian unification in the mid-XIX century. Examples are drawn from a wide range of literary  artistic and cultural media. , ITA 314 COM 387 , HA ,-1,ITA
NULL,Black  Queer  Jewish Italy , Alessandro Giammei , This seminar approaches the two most studied phases of Italian history  the Renaissance and the 20th Century  by placing otherness at the center of the picture rather than at its margins. We will look at pivotal events and phenomena (the rise of Humanism  the rise of fascism  courtly culture  the two World Wars  16th century art  the avant-garde) from the point of view of non-white  non-Christian  non-heterosexual witnesses  authors  and fictional characters. We will adopt a trans-historical  intersectional  and interdisciplinary perspective: themes will be analyzed at the crossing of the two historical phases and of the three topics in exam. , ITA 322 GSS 339 JDS 327 ECS 332 , SA ,-1,ITA
NULL,Elementary Biblical Hebrew I , Staff , Students will achieve a basic ability to read the Hebrew Bible in the original language. During the semester  students will learn the script and the grammar  develop a working vocabulary  and read a selection of Biblical passages. The course is designed for beginners with little or no previous knowledge of the language. Students with extensive experience in the language should contact the instructor about course alternatives. , JDS 302 NES 302 REL 302 ,,4.416666666666667,JDS
NULL,Yiddish in America , Staff , This course examines the place of Yiddish in America from the late 19th century to the present and considers the dynamics of the language's significance in modern American Jewish life. Topics include immigrant Yiddish culture  press  political activism  theater  music  and literature at the turn of the 20th century; hybrid Yiddish-English cultural works of the interwar years  American Yiddish responses to the Holocaust; Yiddish in postwar Hasidic and yeshiva communities; and contemporary engagements with Yiddish by performing artists  queer activists  and postmodern intellectuals. All materials in English. , JDS 304 AMS 334 COM 329 GER 317 , HA ,-1,JDS
NULL,History of the Jewish Book , David Sclar ," This course explores the composition and publication of books  manuscripts  and other written material for and by Jews during the medieval and early modern periods (ca. 1000-1800). The course touches on: orality and literacy; scroll and codex; authors  readers  publishers  and scribes; manuscript and print; Jewish-Christian interaction in scriptoriums  artist workshops  and printing houses; censorship; illustration  illumination  and deluxe printing; and major printing centers. Students will consider how these objects drove Jewish societies and reflected larger cultural trends. They will also address the definition of a ""Jewish"" book. ", JDS 321 REL 384 , HA ,-1,JDS
NULL,Elementary Japanese I , Shinji Sato   Tomoko Shibata   Yukari Tokumasu , An intensive introduction to modern Japanese stressing oral-aural facility  but including an introduction to written Japanese. , JPN 101 ,,4.608333333333333,JPN
NULL,Intermediate Japanese I , Hisae Matsui   Christopher J. Schad , This course aims to give a thorough mastery of modern colloquial Japanese (Tokyo speech) by consistent review and reinforcement of major grammatical points and more advanced vocabulary and grammar. Students will reinforce four major skills by speaking - listening drills  readings  and written exercises. , JPN 105 ,,4.4816666666666665,JPN
NULL,Advanced Japanese I , Hisae Matsui   Christopher J. Schad ," This course is designed to further students' reading ability. Students will have ample opportunity to hear and use increasingly more sophisticated vocabulary and grammatical constructions through discussion and composition. Japanese video will also be incorporated into the course. Reading materials include ""Tobira"" and selected readings from works in the original language. ", JPN 301 ,,4.581666666666666,JPN
NULL,Integrative Advanced Japanese I , Tomoko Shibata ," Four skills approach to advanced Japanese with a focus on reading  listening and speaking. Reading materials include novels  essays  etc. Video materials are also used to enhance listening skills. The goal of this course is ""advanced"" level according to the ACTFL/ETS guidelines. ", JPN 305 ,,4.26,JPN
NULL,Readings in Modern Japanese I , Yukari Tokumasu , This course is targeted to students whose Japanese proficiency is at an advanced or superior level. In this class students will (1) discuss various issues in international relations focusing on Asian nations  using dramas  short novels and editorials  and (2) learn Japanese business manners and speak and write business Japanese. Through these activities  students will develop critical thinking skills as well as Japanese language skills. , JPN 401 EAS 401 ,,3.875,JPN
NULL,Contemporary Japanese Language and Culture I , Shinji Sato   Yukari Tokumasu ," This course emphasizes continued development of four skills used in academic or professional settings. Materials include novels  essays  reports  films  and documentaries. The goal of this course is ""superior"" level according to the ACTFL/ETS guidelines. ", JPN 407 ,,-1,JPN
NULL,Creative Non-Fiction , Suki S. Kim , This seminar will focus on journalism as an art form  especially as it regards social issues. Literary  investigative non-fiction came to flourish in the 1960s and continued; this course will explore that tradition with essays and articles. The class will operate like a magazine newsroom in which student writers will produce a high-quality story that goes through a deep editorial process. Narrative arc  storytelling  and thorough reporting will be emphasized  and themes might include race  class  and culture. Students will work on a single  long-form project throughout the semester. , JRN 240 CWR 240 , LA ,4.816,JRN
NULL,The McGraw Seminar in Writing - The Art of the Profile , Rebecca Mead , This seminar will focus on the profile  the multi-thousand-word portrait of an individual  which remains a mainstay of magazine journalism. In this course students will develop their skills as practitioners and critics of the form by reading and writing some of the best--and  occasionally  some of the worst--examples. We will read  analyze  and write long-form profiles  consider the advantages and drawbacks of access  and look at writing about the famous and the unknown. Interview techniques  research methods  structure  and language will be explored with the goal of understanding what separates an ordinary profile from an enduring portrait. , JRN 441 , LA ,4.572,JRN
NULL,Investigative Journalism - Accountability Reporting , Joe Stephens , In this seminar students will learn the sophisticated reporting  research  and writing techniques that investigative reporters use to root out corruption in public and private institutions. While learning to produce compelling news pieces  students will discover how these tools can be used to advantage in other fields and in everyday life. In addition to exploring new models of journalism (crowd sourcing  social networking  etc.)  we will meet with some of the nation's most successful investigative journalists. , JRN 445 , SA ,4.2620000000000005,JRN
NULL,Politics and the Media - Writing about Washington and the Economy , Robert J. Davis , This seminar will focus on writing about the intersection between Washington and economics. Storytelling--the heart of journalism--will be stressed. Starting with the basics of covering economics  the course will branch out to include political subjects as diverse as income inequality  the new presidential administration  China  and immigration. We will identify local controversies that illuminate national issues. Students will learn how to find and report precise  compelling stories about domestic and international political economics by using curiosity  lively writing  and successive edits. The goal is to produce a long-form final project. , JRN 447 , SA ,4.454,JRN
NULL,The Media and Social Issues - Reporting on Race in America Today , Tanzina I. Vega , This seminar will focus on how the evolution of media and technology has shaped the way America looks at race and enabled the creation of social movements  like #BlackLivesMatter and the alt-right  that in turn shape national policy agendas. The course will explore how the democratization of media allows people to lead the conversation  and how legacy media have changed their tactics to engage directly with audiences in the age of Twitter. Students will learn about non-traditional forms of reporting as they cover issues including diversity  racial demographics  bias  cultural appropriation  and race in the 2016 presidential election. , JRN 448 , SA ,4.4,JRN
NULL,International News - Migration Reporting , Deborah Amos , This seminar will focus on journalism and the global migration crisis  as more than 65 million people are on the move  with forced displacements at a record high. At the same time  refugee resettlement in the United States is contentious. We will examine journalism's approach to the crisis in photos  text  and radio  considering the conflict between national security  international responsibility  and America's historic role in resettlement. Students will visit ethnic and refugee communities  write stories on topics as diverse as social media  education  and entrepreneurship  and produce multimedia assignments and a long-form final project. , JRN 449 , SA ,4.426,JRN
NULL,Audio Journalism - Storytelling for Radio Documentaries and Podcasts , Joe K. Richman , This seminar will focus on journalism in the form of audio storytelling  as a good radio story can do much more than just convey information. We will explore the sensibilities and skills needed for narrative storytelling to capture listeners' imaginations. Students will do advanced writing  interviewing  sound-gathering  and multi-layered audio production to create broadcast-caliber radio documentaries. Students will produce an audio postcard  a profile  and a final documentary--through frequent rewrites and intensive editing--and a class podcast of their work. The best stories will be pitched to WYNC  NPR  and other outlets. , JRN 450 , LA ,4.827999999999999,JRN
NULL,Elementary Korean I , Eunjung Ji   Joowon Suh   Yuseon Yun , Elementary Korean is designed for beginning students who intend to build a solid foundation for further study in the Korean language. The course provides four balanced language skills - listening  speaking  reading  and writing - needed for basic communication. It emphasizes the ability to use Korean appropriately and introduces students to useful information concerning culture and daily life in Korea. , KOR 101 ,,4.4750000000000005,KOR
NULL,Intensive Korean I , Eunjung Ji , The first part of Intensive Korean is designed for heritage students who have already had considerable amount of exposure to the Korean language and culture but have not received any formal instruction before their arriving at Princeton. It covers the Elementary Korean material focusing on vocabulary building  grammar  reading and writing. , KOR 103 ,,4.308333333333334,KOR
NULL,Intermediate Korean I , Ho Jung Choi , Intermediate Korean is designed for students who have learned the basics of the Korean language and want to improve their competence to a higher level. Complex sentences and grammar are covered while the basics are reviewed. Balancing four language skills -- listening  speaking  reading  and writing -- is emphasized. , KOR 105 ,,4.516666666666667,KOR
NULL,Advanced Korean I , Ho Jung Choi , Advanced Korean is designed to develop fluency in both oral and literary skills. Expansion of vocabulary  practice in reading comprehension as well as active skills of conversation and writing are stressed through short readings and class discussion. Readings include different styles of writings on various topics including Korean culture  society  and history. , KOR 301 ,,4.333333333333333,KOR
NULL,Integrative Korean I , Ho Jung Choi , The fourth-year Korean is designed to promote students' proficiency to the advanced-mid level and to enhance their continued development of literacy skills in Korean. Various authentic reading materials are reviewed in class discussion  presentation skills are emphasized  and a wider range of formal vocabulary is introduced. , KOR 303 ,,4.835,KOR
NULL,Contemporary Korean Language and Culture I , Yuseon Yun , The fifth-year language course is designed to accelerate students' proficiency to the high-advanced level and 5th-level to promote a deeper level of understanding of contemporary Korea and its people. A wide range of social  cultural and economic issues are covered through the use of various media resources (e.g.  dramas  films  songs  commercials  newspapers  websites) as well as short essays. Classroom discussion are conducted in Korean. , KOR 401 ,,4.699999999999999,KOR
NULL,Cuban History  Politics and Culture , Adrian Lopez-Denis , This seminar constitutes an introduction to the study of Cuba from a historical perspective. During the first half of the semester the course follows a chronological approach  covering the political and socioeconomic development of the country from the sixteenth century to the present. In the second half of the semester  it examines a series of sociocultural issues that are central to the life of contemporary Cubans  on the island and abroad. At the core of the class lies an interrogation of the relevance of the Cuban case for larger discussions on colonialism  modernity  socialism and development. , LAS 371 SPA 372 AAS 374 , SA ,4.061999999999999,LAS
NULL,Public Health and Private Healing in the Atlantic World , Adrian Lopez-Denis , This seminar explores the impact of transatlantic exchanges between Europe  Africa and the Americas on the development of the environmental  political and sociocultural trends that affect our health and our ability to heal today. During the first half of the semester we will reconstruct the interconnected histories of the medicalization of the West and the westernization of the Rest  from the Renaissance to the end of the twentieth century. In the second half of the semester we will explore the contemporary consequences of these historical developments. , LAS 372 GHP 372 SPA 373 , SA ,4.432,LAS
NULL,Politics and Social Change in Latin America  1968-Present , Fernando E. Acosta-Rodriguez   Jeremy I. Adelman , How did Latin American civilians organize publicly to protest democratic and authoritarian rulers? This course will look at the ways in which citizens responded to social  political  and economic policies in a turbulent time to create new understandings of human rights and social identities. Our case studies will focus especially on Buenos Aires  Santiago  Mexico City  and Caracas. To tackle the theme of popular politics  we will use a special collection of posters  leaflets  broadsheets  cartoons  and placards. We will use them to learn about the voices of protest  the strategies of organizing  and the search for narratives. , LAS 374 HIS 486 , HA ,-1,LAS
NULL,Beginner's Latin , Daniela E. Mairhofer , An introduction to the basic grammar  syntax  and vocabulary of Latin designed to enable students to read and understand simple Latin prose and verse. , LAT 101 ,,4.111666666666666,LAT
NULL,Intermediate Latin: Catullus and His Age , Melissa Haynes , This course aims at increasing facility in reading Latin prose and poetry and introduces students to the literary culture of Republican Rome. We shall read selections from two important authors of the late Roman Republic  Caesar and Catullus. , LAT 105 ,,4.121666666666667,LAT
NULL,Invective  Slander  and Insult in Latin Literature , Melissa Haynes , This course aims to build skills in reading literary Latin in a variety of genres  both poetry and prose  while introducing students to an important social function shared by many kinds of texts: Winning status and prestige by slandering a rival. The kind of insult that wins over an audience tells us much about Roman values in various realms of public and personal behavior. , LAT 210 , LA ,4.75,LAT
NULL,Vergil's Aeneid , Denis Feeney , This course will develop an understanding of Virgil's poetic and stylistic techniques (metre  allusion  structure  word order)  together with an understanding of Roman history and identity at the end of the Republic. , LAT 333 , LA ,4.696666666666667,LAT
NULL,Roman Historians of the Empire , Dan-El Padilla Peralta , From accounts of the emperor Claudius as mortal (Suetonius' biography  Tacitus Annales XI)  we will progress to satire of Claudius as divinity (Seneca  Apocolocyntosis). Emphasis will be on gaining familiarity with the prose styles of imperial historiography and with the genre-bending medley of Menippean satire. , LAT 339 , HA ,-1,LAT
NULL,The Lucid Black and Proud Musicology of Leroi Jones/Amiri Baraka , Gregory S. Tate , This class will focus on the career-long writing about jazz  blues  rock and R&B of Amiri Baraka (nee Leroi Jones) and the significant impact it has had on cultural politics  scholarship and esthetics from the early 1960s to the present. Baraka's work as an activist and his gifts as a poet/novelist/playwright/political essayist allowed him to inject considerable lyricism  eloquence  learning and passion into the previously moribund fields of African American music history and journalism. His music writing also affected the tenor of future public advocacy for jazz via the NEA 's Jazz Masters awards and Jazz At Lincoln Center. , LCA 213 AAS 213 ENG 213 HUM 213 , LA ,-1,LCA
NULL,Introduction to Language and Linguistics , Christiane D. Fellbaum , An introduction to the scientific analysis of the structure and uses of language. Core areas covered include phonetics and phonology  morphology  the lexicon  syntax  semantics and pragmatics  with data from a wide range of languages. Topics include the biological basis of language  language and cognition  the neurology of language and language disorders  and first and second language acquisition. , LIN 201 CGS 205 , EC ,3.733333333333333,LIN
NULL,Language in Its Contexts , Laura Kalin , This course investigates language in its social  cultural  political  and historical contexts. Does your native language influence your perception  your behavior  and your culture? How does your identity influence properties of your language? What happens when unrelated languages come into contact for prolonged periods? How are new languages born? Why isn't English the official language of the United States  and should it be? We will explore these questions (and more) by engaging with the often contradictory opinions of specialists and the public  as well as with the empirical realities behind these different language situations. , LIN 250 , SA ,4.326666666666667,LIN
NULL,Languages of Africa , Florian Lionnet , About 2000 of the world's 6000 to 7000 languages are spoken in Africa. The diversity that characterizes these languages is exceptional  but very little is known to non-specialists. In this course  we will learn about the languages of Africa: the diversity of their linguistic structures (including famous features that are found nowhere else  e.g. click consonants)  their history and the history of their speakers (from ca 10 000 BP to the (post) colonial period)  and their cultural contexts  among other topics. This course has no prerequisites  and is open to anyone with an interest in African languages or the African continent. , LIN 260 AFS 262 , EC ,-1,LIN
NULL,Syntax , Byron T. Ahn , Syntax is the aspect of human language involved in building phrases out of words. How do words combine - like beads on a string? Are words the smallest building blocks of phrases? How can we make predictions about what is possible and impossible in these structures? This course aims to answer these questions while focusing on the methods linguists use to analyze natural language expressions. Explorations of some universal properties of language structures  as well as the ways in which those structures can vary. Strong emphasis on building and testing hypotheses on the basis of both language data and foundational principles of the field. , LIN 302 , EC ,3.1599999999999997,LIN
NULL,Intonation: Melody in Language , Byron T. Ahn , What is intonation? How can we measure it  transcribe it  and analyze it? This class focuses on American English melodic patterns  addressing questions such as: What is the difference between Mandarin-style tone and English-style intonation? Do all questions have the same intonation? How do you pronounce a comma? What does it mean to stress a word? Students learn how to analyze prosodic data (intonation  phrasing  and prominence) using laboratory methods  computer software  and standard annotation conventions. After analyzing the American English intonational system  we compare it to melodic systems of other languages of the world. , LIN 310 , EC ,-1,LIN
NULL,Linguistic Universals and Language Diversity , Laura Kalin , This course is a hands-on exploration of language typology. Each student will work with a different endangered language to help us  as a class  answer typological questions across various domains of language (sounds  words  sentences  etc.). Along what lines do languages vary? How much can languages differ from each other? Are any linguistic properties shared across all human languages  and if so  how do we explain them? How do signed languages fit into this picture  and what's all that buzz about Pirahã? Through answering these questions  we will build up and engage with various models and theories of language variation. , LIN 360 , EC ,4.366,LIN
NULL,Thermodynamics , Lamyaa El-Gabry , Heat and work in physical systems. Concepts of energy conversion and entropy  primarily from a macroscopic viewpoint. Efficiency of different thermodynamic cycles  with applications to everyday life including both renewable and classical energy sources. In the laboratory  students will carry out experiments in the fields of analog electronics and thermodynamics. , MAE 221 ENE 221 ,,3.321428571428572,MAE
NULL,Modern Solid Mechanics , Andrej Kosmrlj , Fundamental principles of solid mechanics: equilibrium equations  reactions  internal forces  stress  strain  Hooke's law  torsion  beam bending and deflection  and analysis of stress and deformation in simple structures. Integrates aspects of solid mechanics that have applications to mechanical and aerospace structures (engines and wings)  as well as to microelectronic and biomedical devices (thin films and artificial hearts). Topics include stress concentration  fracture  plasticity  and thermal expansion. The course synthesizes descriptive observations  mathematical theories  and engineering consequences. , MAE 223 CEE 323 ,,4.1579999999999995,MAE
