LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
,Lemar Hoskins (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,87,Nov-86,1986
,Donald Pierce (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,86,Jan-80,1980
,Joseph Chapman (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,86,Jan-81,1981
,Karolina Dean (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,86,3-Jul,2003
,Bastion (Earth-616),Bad Characters,Hazel Eyes,White Hair,Male Characters,Deceased Characters,85,May-96,1996
,Kull (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,84,Oct-70,1970
,Satana Hellstrom (Earth-616),Bad Characters,Red Eyes,Red Hair,Female Characters,Living Characters,84,Oct-73,1973
,Laynia Petrovna (Earth-616),Good Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,84,Aug-76,1976
,Night Raven (Vigilante) (Earth-616),Good Characters,Grey Eyes,Bald,Male Characters,Living Characters,84,Mar-79,1979
,Kavita Rao (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,84,4-Jul,2004
,Danielle Cage (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,84,6-Mar,2006
,Frederick Foswell (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,83,Mar-64,1964
,John Greycrow (Earth-616),Neutral Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,83,Oct-86,1986
,Michael Duffy (Earth-616),Good Characters,,Brown Hair,Male Characters,Deceased Characters,82,Mar-41,1941
,Eric Koenig (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,82,Feb-66,1966
,Zheng Zu (Earth-616),Bad Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,82,Dec-73,1973
,Keniuchio Harada (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,82,Jul-74,1974
,Irene Adler (Earth-616),Neutral Characters,White Eyes,Silver Hair,Female Characters,Deceased Characters,82,Jan-81,1981
,Marrina Smallwood (Earth-616),Good Characters,Black Eyes,Green Hair,Female Characters,Living Characters,82,Aug-83,1983
,Fred Davis Jr. (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,81,Aug-45,1945
,Zelda DuBois (Earth-616),Bad Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,81,Mar-65,1965
,Beyonder (Earth-616),Neutral Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,81,May-84,1984
,Roxanne Washington (Earth-616),,,,Female Characters,Living Characters,81,5-Aug,2005
,Bonita Juarez (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,80,Nov-81,1981
,Surtur (Earth-616),Bad Characters,Yellow Eyes,Red Hair,Male Characters,Deceased Characters,79,Oct-63,1963
,Stranger (Cosmic Being) (Earth-616),Neutral Characters,White Eyes,White Hair,Male Characters,Living Characters,79,May-65,1965
,Brandy Clark (Earth-616),Good Characters,,Brown Hair,Female Characters,Living Characters,79,Dec-79,1979
,Lillian Crawley (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Deceased Characters,79,Aug-83,1983
,Ichabod (Earth-616),Good Characters,,White Hair,Male Characters,Living Characters,78,Dec-48,1948
,Russell Collins (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,78,Feb-86,1986
,Michael Badilino (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,78,Jan-92,1992
,Helen Takahama (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,78,Apr-97,1997
,En Sabah Nur (Evan Sabahnur) (Earth-616),Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,78,11-Jun,2011
,Dai Thomas (Earth-616),,,Brown Hair,Male Characters,Living Characters,77,Sep-75,1975
,Maria Callasantos (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,77,Mar-91,1991
,Sally Avril (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,76,Aug-62,1962
,Ebenezer Laughton (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,76,Mar-64,1964
,Pluto (Olympian) (Earth-616),Bad Characters,Grey Eyes,Black Hair,Male Characters,Deceased Characters,76,Apr-66,1966
,Arnim Zola (Earth-616),Bad Characters,,No Hair,Male Characters,Living Characters,76,Apr-77,1977
,Mariko Yashida (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,76,Feb-79,1979
,Dallas Riordan (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,76,Apr-97,1997
,Hannibal King (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,75,Oct-74,1974
,Thomas Cassidy (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,75,Jun-76,1976
,Kara Killgrave (Earth-616),Good Characters,Purple Eyes,Black Hair,Female Characters,Living Characters,75,Dec-86,1986
,Jess\u00e1n Hoan (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,75,May-88,1988
,Daisy Johnson (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,75,4-Jul,2004
,John Horton (Earth-616),Bad Characters,Yellow Eyes,Yellow Hair,Male Characters,Living Characters,74,Nov-72,1972
,Cecilia Reyes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,74,Jun-97,1997
,Barnell Bohusk (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,74,1-Oct,2001
,Victor Mancha (Earth-616),Good Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,74,5-Apr,2005
,Awesome Android (Earth-616),Neutral Characters,,No Hair,Male Characters,Living Characters,73,Jun-63,1963
,Samuel Smithers (Earth-616),Bad Characters,Green Eyes,Grey Hair,Male Characters,Living Characters,73,Oct-63,1963
,Wilbur Day (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,73,Jun-65,1965
,Silvio Manfredi (Earth-616),Bad Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,73,Jun-69,1969
,Richard Fisk (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,73,Apr-70,1970
,Edward Whelan (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,73,Aug-82,1982
,Donald Gill (Earth-616),Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,73,Oct-87,1987
,Alani Ryan (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,73,4-Jun,2004
,Aarkus (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,72,Nov-40,1940
,Aloysius Kare (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,72,Nov-50,1950
,Ringo Kid (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,72,Aug-54,1954
,Maynard Tiboldt (Earth-616),,Green Eyes,Black Hair,Male Characters,Living Characters,72,Sep-62,1962
,Esteban Coraz\u00f3n de Ablo (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,72,Sep-64,1964
,Marvin Flumm (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,72,Feb-66,1966
,Nathaniel Richards (Earth-616),Neutral Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,72,Nov-84,1984
,Kathryn Cushing (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Living Characters,72,Nov-85,1985
,Cameron Hodge (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,72,Feb-86,1986
,Alistaire Stuart (Earth-616),,Variable Eyes,Variable Hair,Male Characters,Living Characters,72,Mar-89,1989
,Stacy Dolan (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,72,May-90,1990
,Sleepwalker (Earth-616),Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,72,Jun-91,1991
,Ben Hamill (Earth-616),Good Characters,,,Male Characters,Living Characters,72,4-Jan,2004
,Ivan Kragoff (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,71,Apr-63,1963
,Marco Scarlotti (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,71,Jan-68,1968
,Jennifer Takeda (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,71,10-Aug,2010
,Broo (Earth-616),Good Characters,,No Hair,Male Characters,Living Characters,71,11-Sep,2011
,Robert Grayson (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,70,Dec-50,1950
,Boris Bullski (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,70,Sep-65,1965
,Maximillian Coleridge (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,70,Apr-76,1976
,Oracle (Sybil) (Earth-616),Good Characters,Pink Eyes,Blond Hair,Female Characters,Living Characters,70,Oct-77,1977
,Hope Abbott (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Living Characters,70,5-Jun,2005
,"Nicholas Fury, Jr. (Earth-616)",Good Characters,One Eye,Bald,Male Characters,Living Characters,70,12-Jan,2012
,Fin Fang Foom (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,69,Oct-61,1961
,Shalla-Bal (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,69,Aug-68,1968
,Samuel Saxon (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,69,Feb-69,1969
,Jean DeWolff (Earth-616),Good Characters,Green Eyes,Blond Hair,Female Characters,Deceased Characters,69,Aug-76,1976
,Blanche Sitznski (Earth-616),Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,69,Jun-80,1980
,Tanya Sealy (Earth-616),Neutral Characters,Green Eyes,Black Hair,Female Characters,Living Characters,69,Jun-80,1980
,Joy Mercado (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,69,Sep-83,1983
,Bennet du Paris (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,69,Jul-93,1993
,Martha Franklin (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,69,Nov-98,1998
,Bentley Wittman (Clone) (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,69,9-Oct,2009
,Rachel van Helsing (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,68,Jul-72,1972
,Jerome Beechman (Earth-616),Bad Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,68,Jun-73,1973
,Tyros (Earth-616),Bad Characters,Grey Eyes,No Hair,Male Characters,Deceased Characters,68,Oct-79,1979
,Yukio (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,68,Sep-82,1982
,Lila Cheney (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,68,Nov-84,1984
,Thomas Fireheart (Earth-616),Neutral Characters,Green Eyes,Black Hair,Male Characters,Living Characters,68,Sep-84,1984
,Everett Ross (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,68,Sep-98,1998
,Criti Noll (Clone) (Earth-616),Bad Characters,Green Eyes,No Hair,Female Characters,Deceased Characters,68,6-Sep,2006
,Kenneth Hale (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,67,Mar-54,1954
,Korg (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,67,Aug-62,1962
,Mark Raxton (Earth-616),Good Characters,Hazel Eyes,Blond Hair,Male Characters,Living Characters,67,Sep-65,1965
,Calvin Rankin (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,67,Apr-66,1966
,Basil Sandhurst (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,67,Apr-69,1969
,Hobie Brown (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,67,Nov-69,1969
,Topaz (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,67,Jan-74,1974
,Shadow King (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,67,Jan-79,1979
,William Cross (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,67,Jun-79,1979
,Lance Bannon (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,67,Sep-80,1980
,Rita DeMara (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,67,Feb-86,1986
,Tong (Moloid) (Earth-616),Good Characters,,No Hair,Female Characters,Living Characters,67,10-Mar,2010
,Romulus Augustulus (Earth-616),Bad Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,66,Jan-63,1963
,Super-Adaptoid (Earth-616),Bad Characters,Black Eyes,No Hair,Male Characters,Living Characters,66,Oct-66,1966
,John Proudstar (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,66,May-75,1975
,Christoph Nord (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,66,Feb-92,1992
,Maya Lopez (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,66,Dec-99,1999
,Old Lace (Earth-616),Good Characters,Red Eyes,No Hair,Female Characters,Living Characters,66,3-Aug,2003
,Humberto Lopez (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,66,9-May,2009
,Morgan le Fay (Earth-616),Bad Characters,Green Eyes,Purple Hair,Female Characters,Living Characters,65,May-55,1955
,Luchino Nefaria (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,65,Feb-65,1965
,Jennifer Kale (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,65,Dec-72,1972
,Douglas Scott (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,65,Oct-81,1981
,Ashley Kafka (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,65,Jul-91,1991
,Robert Herman (Earth-616),Neutral Characters,,No Hair,Male Characters,Living Characters,65,1-Oct,2001
,Shuri (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,65,5-May,2005
,Justin Hammer (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,64,Mar-79,1979
,Michael Steel (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Living Characters,64,Dec-80,1980
,Kristoff Vernard (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,64,Oct-82,1982
,Gateway (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,64,May-88,1988
,Lily Hollister (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,64,8-Jan,2008
,Tyr Odinson (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,63,Oct-62,1962
,Krang (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,63,Sep-63,1963
,Zebediah Killgrave (Earth-616),Bad Characters,Purple Eyes,Purple Hair,Male Characters,Living Characters,63,Oct-64,1964
,En Dwi Gast (Earth-616),Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,63,Oct-69,1969
,Arthur Stacy (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,63,Feb-71,1971
,David Griffith (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,63,Aug-72,1972
,Franklin Hall (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,63,Apr-77,1977
,Microtron (Earth-616),,,,,Living Characters,63,Jan-79,1979
,Sara Wolfe (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,63,Dec-79,1979
,Simon Utrecht (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,63,Dec-80,1980
,Vertigo (Savage Land Mutate) (Earth-616),Bad Characters,Blue Eyes,Green Hair,Female Characters,Deceased Characters,63,Mar-82,1982
,Armando Mu\u00f1oz (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,63,6-Feb,2006
,Jeanne Foucault (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,63,10-Aug,2010
,Bruno Horgan (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,62,Nov-63,1963
,Owen Reece (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,62,Nov-63,1963
,Phineas Mason (Earth-616),Neutral Characters,Grey Eyes,White Hair,Male Characters,Living Characters,62,May-63,1963
,Man-Beast (Earth-616),Bad Characters,Red Eyes,Brown Hair,Male Characters,Living Characters,62,Nov-66,1966
,Candace Southern (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,62,Apr-67,1967
,Heather Glenn (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,62,Oct-75,1975
,Rintrah (Earth-616),Good Characters,Brown Eyes,Green Hair,Male Characters,Living Characters,62,Dec-86,1986
,Kevin Masterson (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,62,Jun-88,1988
,Arkady Rossovich (Earth-616),Bad Characters,Red Eyes,Blond Hair,Male Characters,Deceased Characters,62,Jan-92,1992
,Karima Shapandar (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,62,Jun-00,2000
,Norah Winters (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,62,8-Dec,2008
,Brandon Sharpe (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,62,10-Aug,2010
,Plan Chu (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,61,Oct-56,1956
,William Connors (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,61,Nov-63,1963
,Modred (Earth-616),Neutral Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,61,Oct-75,1975
,James Darnell (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,61,Dec-80,1980
,Carnage (Symbiote) (Earth-616),Bad Characters,White Eyes,No Hair,Agender Characters,Living Characters,61,Mar-92,1992
,Venus (Siren) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,61,6-Oct,2006
,Lance Temple (Outlaw Kid) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,60,Sep-54,1954
,Impossible Man (Earth-616),Neutral Characters,Purple Eyes,No Hair,Male Characters,Living Characters,60,Feb-63,1963
,Robert Hunter (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,60,Sep-74,1974
,Onslaught (Psychic Entity) (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,60,May-96,1996
,Irene Merryweather (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,60,Nov-97,1997
,E.V.A. (Earth-616),Good Characters,,No Hair,Female Characters,Living Characters,60,2-Sep,2002
,Mik (Moloid) (Earth-616),Good Characters,,No Hair,Male Characters,Living Characters,60,10-Mar,2010
,Kro (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,Aug-40,1940
,Toni Turner (Earth-616),,Black Eyes,Black Hair,Female Characters,Living Characters,59,Jan-62,1962
,Melvin Potter (Earth-616),,Blue Eyes,Bald,Male Characters,Living Characters,59,Jul-66,1966
,Billy Russo (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,59,Oct-76,1976
,Anath-Na Mut (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,Feb-77,1977
,Gilgamesh (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,59,Jul-77,1977
,Rebecca Blake (Earth-616),Neutral Characters,,Auburn Hair,Female Characters,Living Characters,59,Nov-78,1978
,Biotron (Earth-616),Good Characters,,,Male Characters,Living Characters,59,Jan-79,1979
,Ruth Bat-Seraph (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,59,Aug-80,1980
,Sofia Mantega (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,59,3-Jul,2003
,Nezhno Abidemi (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,59,6-Apr,2006
,Thomas Shepherd (Earth-616),Good Characters,Green Eyes,White Hair,Male Characters,Living Characters,59,6-Mar,2006
,Ken Mack (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,59,10-Aug,2010
,Turg (Moloid) (Earth-616),Good Characters,,No Hair,Male Characters,Living Characters,59,10-Mar,2010
,Ivan Petrovitch (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,58,Aug-70,1970
,Robert Diamond (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,58,Apr-74,1974
,Debra Whitman (Earth-616),,Green Eyes,Blond Hair,Female Characters,Living Characters,58,Sep-79,1979
,Cassandra Webb (Earth-616),Good Characters,Grey Eyes,Black Hair,Female Characters,Deceased Characters,58,Nov-80,1980
,Claudette and Nicole St. Croix (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,58,Sep-94,1994
,Greg Willis (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,58,5-Aug,2005
,Korr (Moloid) (Earth-616),Good Characters,,No Hair,,Living Characters,58,10-Mar,2010
,Daniel Brito (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,57,Mar-64,1964
,Jackson Brice (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,57,Mar-64,1964
,Quincy Harker (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,57,Mar-73,1973
,Duvid Fortunov (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,57,Aug-75,1975
,Philippa Sontag (Earth-616),Bad Characters,Violet Eyes,Black Hair,Female Characters,Living Characters,57,Oct-86,1986
,Laurie Tromette (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,57,10-Sep,2010
,Max Modell (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,57,11-Jan,2011
,Arthur Pendragon (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,56,Mar-44,1944
,Hera Argeia (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,56,Apr-49,1949
,Johann Fennhoff (Earth-616),Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,56,Nov-68,1968
,Mesmero (Vincent) (Earth-616),Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,56,Oct-68,1968
,Martha Robertson (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,56,Jan-69,1969
,James Braddock Jr. (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,Dec-76,1976
,Ayesha (Earth-616),,White Eyes,Blond Hair,Female Characters,Living Characters,56,Nov-77,1977
,Nebula (Earth-616),Bad Characters,Blue Eyes,Bald,Female Characters,Living Characters,56,Jul-85,1985
,Blackout (Lilin) (Earth-616),Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,56,Jun-90,1990
,Garrison Kane (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,Sep-91,1991
,Phyla-Vell (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,56,4-Jan,2004
,Vil (Earth-616),Neutral Characters,,No Hair,Female Characters,Living Characters,56,10-Apr,2010
,Eliot Franklin (Clown) (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Living Characters,55,Sep-62,1962
,Psycho-Man (Earth-616),Bad Characters,Yellow Eyes,,Male Characters,Living Characters,55,Nov-67,1967
,Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616),Good Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,55,Aug-79,1979
,Cleo Nefertiti (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,55,Sep-85,1985
,Fen (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,55,,
,Martha Connors (Earth-616),,Blue Eyes,Red Hair,Female Characters,Deceased Characters,54,Nov-63,1963
,Stan Lee (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,Jan-63,1963
,Athena Parthenos (Earth-616),Neutral Characters,,Black Hair,Female Characters,Deceased Characters,54,May-69,1969
,Hector Ayala (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,54,Dec-75,1975
,Blake Tower (Earth-616),Good Characters,,Blond Hair,Male Characters,Living Characters,54,Jan-76,1976
,Dimitri Bukharin (Earth-616),,Brown Eyes,Bald,Male Characters,Living Characters,54,Apr-78,1978
,Captain Universe (Earth-616),Good Characters,Variable Eyes,Variable Hair,Agender Characters,Living Characters,54,Aug-79,1979
,Mister Negative (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,7-Jun,2007
,William Lumpkin (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,53,Feb-63,1963
,Ego (Earth-616),,,No Hair,Male Characters,Living Characters,53,Sep-66,1966
,Bova Ayrshire (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,53,Aug-74,1974
,Seth (Earth-616),Bad Characters,Brown Eyes,Red Hair,Male Characters,Living Characters,53,Oct-75,1975
,Brian Falsworth (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,53,Jul-77,1977
,Nikolai Krylenko (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,53,Apr-78,1978
,Valinor (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,Mar-79,1979
,Ann Darnell (Earth-616),,Green Eyes,Brown Hair,Female Characters,Living Characters,53,Dec-80,1980
,Alexander Pierce (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,Aug-88,1988
,Kayla Ballantine (Earth-616),Good Characters,,Strawberry Blond Hair,Female Characters,Living Characters,53,Nov-89,1989
,Vanessa Carlysle (Earth-616),Neutral Characters,Red Eyes,White Hair,Female Characters,Living Characters,53,Feb-91,1991
,Donyell Taylor (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,Oct-93,1993
,Ken Ellis (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,Nov-94,1994
,Teon Macik (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,10-Dec,2010
,Wu (Earth-616),Neutral Characters,,No Hair,Male Characters,Living Characters,53,10-Apr,2010
,Eva Bell (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,53,13-Jan,2013
,Zuras (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,52,Aug-40,1940
,Kevin Marlow (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,Oct-41,1941
